,word_root,polarity
914,들먹이,1.5
915,들볶,-1.5
916,들어맞,3
917,들어오,-1.5
918,들추,-3
919,듯이,1.5
920,등급,0
921,등뼈,-1.5
922,등지,-1.5
923,따갑,-1.5
926,따끔,-1.5
924,따끔거리,-1.5
925,따끔따끔,-1.5
927,따돌리,-3
928,따돌림,-3
930,따뜻,3
929,따뜻이,3
931,따르,-1.5
932,따름,1.5
933,따분,-1.5
934,따스,3
935,따위,-1.5
936,따지,-1.5
3842,딱,1.5
937,딱딱,-1.5
938,딱하,-1.5
939,딴전,-1.5
940,때리,-1.5
941,떠넘기,-1.5
942,떠들,-1.5
943,떠들썩,-1.5
944,떠벌리,-3
945,떨리,-1.5
946,떨어지,-1.5
947,떨어트리,-1.5
948,떳떳,1.5
3841,또,1.5
949,또는,1.5
950,또라이,-3
951,또랑또랑,3
954,또렷,1.5
952,또렷또렷,1.5
953,또렷이,1.5
955,또박또박,1.5
956,똑똑,3
957,똑바르,3
959,똘똘,3
958,똘똘하,-1.5
960,뚜렷,1.5
961,뚱뚱,-1.5
962,뛰어나,3
963,뛰어넘,1.5
964,뜨겁,0
967,뜨끔,-1.5
965,뜨끔거리,-1.5
966,뜨끔뜨끔,-1.5
968,뜨뜻,1.5
3630,뜨악,-1.5
969,뜻대로,-3
970,뜻밖,1.5
971,뜻하,-1.5
972,루머,-1.5
973,마구,-3
974,마땅,-1.5
975,마르,-1.5
976,마비,-1.5
977,마스터,3
978,마약,-1.5
982,마음,1.5
979,마음대로,0
980,마음속,1.5
981,마음씨,1.5
983,마이너스,-3
984,마주치,-1.5
985,마초,1.5
1873,마케팅,-1.5
986,막되,-3
987,막막,-3
988,막연,-3
989,막히,-3
990,만나,-1.5
991,만만,-1.5
3631,만만찮,-1.5
992,만성,-1.5
993,만족,3
994,만큼,3
3754,많은,1.5
995,많이,-1.5
996,말끔,3
997,말끔히,3
998,말다툼,-3
999,말대꾸,-3
1000,말대답,-3
1001,말똥말똥,1.5
1003,말라죽,-3
1004,말로,-1.5
1002,말르,-1.5
1005,말소리,-1.5
1006,말썽,-1.5
1007,말쑥,3
1008,말없이,-1.5
1009,말짱,3
1011,말하,1.5
1010,말하기,-1.5
1012,맑은,3
1013,맛깔,1.5
1014,맛없,-1.5
1015,맛있,3
1016,망상,-3
1017,망설이,-1.5
1018,망신,-3
1019,망실,-1.5
3661,망연,-3
3662,망연자실,-3
1020,망치,-3
1021,망하,-3
1022,맞갖,-3
1023,맞추,-3
1024,매끄럽,1.5
1026,매끈,1.5
1025,매끈둥대,1.5
1027,매독,-3
1028,매독균,-3
1029,매력,1.5
1030,매력적,3
1031,매료,1.5
1032,매몰차,-3
1033,매섭,-3
1034,매스껍,-3
1035,매슥매슥,-3
1036,매이,-1.5
1037,매질,-3
1038,맥박,-1.5
1039,맥없,-3
1040,맥없이,-3
1041,맵시,3
1042,맵짜,-1.5
1043,맹세,1.5
1044,맺히,-3
1045,머리,0
1049,머뭇,-1.5
1046,머뭇거리,-1.5
1047,머뭇대,-1.5
1048,머뭇머뭇,-1.5
1050,머저리,-3
3663,먹먹,-3
1051,먹음새,1.5
1052,먼지,-1.5
1053,멀겋,-1.5
1054,멀끔,3
1055,멀리하,-1.5
1056,멀쑥,1.5
1057,멀쩡,1.5
1058,멈칫하,-1.5
1059,멋들어지,3
1060,멋없,-3
1061,멋있,3
1062,멋쟁이,3
1063,멋지,3
1064,멋쩍,-1.5
1066,멍청,-3
1065,멍청이,-3
1067,메마르,-3
1068,메스껍,-3
1069,메슥메슥,-3
1070,면색여토하,-3
1071,면직,-1.5
1072,멸망,-3
1073,멸명되,-3
1074,멸시,-3
1075,멸시감,-3
1076,멸여되,-3
1077,멸여하,-3
1078,명랑,3
1079,명량,3
1080,명령,-1.5
1081,명망,-3
1082,명백,-1.5
1083,명복,1.5
1084,명성,3
1085,명예,3
1086,명쾌,3
1087,모두,1.5
1088,모략,-1.5
1089,모르,-1.5
3639,모멸감,-3
1090,모범,3
1091,모순,-1.5
1092,모시,-1.5
1093,모양,0
1094,모양새,-1.5
1096,모욕,-3
3640,모욕적,-3
1095,모이,-1.5
1098,모자,0
1097,모자라,0
1099,모자람,1.5
1100,모조리,0
1101,모질,-3
1102,모호,-1.5
1103,목구멍,0
3706,목넘김,1.5
1104,목소리,0
1105,목숨,-3
1106,목적,3
1107,몰래,-1.5
1108,몰아대,-1.5
1109,몰아붙이,-3
1110,몰아세우,-1.5
1111,몰아치,-3
1112,몰인정,-1.5
1113,몸가짐,3
1114,몸보신,1.5
1115,몸살,-1.5
1116,몸져눕,-3
1117,몸짱,1.5
1118,몹시,-3
1119,몹쓸,-3
1120,못나,-3
1121,못난이,-3
1122,못되,-3
1123,못마땅,-3
1124,못살,-3
1125,못생기,-3
1126,못하,-3
1127,몽땅,-3
1128,무가치,-1.5
1129,무겁,-3
1130,무게,0
1131,무관심,-1.5
1132,무관심하,-3
1133,무궁무진,1.5
1134,무기력,-3
1135,무너뜨리,-3
1136,무너지,-3
1138,무능,-1.5
1137,무능력,-1.5
1139,무단,-3
1140,무더위,0
1141,무디,-3
1142,무뚝뚝,-1.5
1143,무량,1.5
1144,무례,-3
1145,무료,1.5
1146,무르,-1.5
1147,무릎,0
1148,무리,-1.5
1149,무모,-1.5
1150,무분별,-3
1151,무사히,1.5
1153,무서움,-3
1154,무서워하,-3
1152,무섭,-3
1155,무시,0
3804,무아스파탐,1.5
1156,무안,-3
1157,무엇,-1.5
1158,무용,1.5
1159,무의미,-3
1160,무정,-3
1163,무지,1.5
1161,무지근,-1.5
1162,무지러지,-1.5
1165,무질서,-3
1164,무질서하,-3
1166,무책임,-3
1167,무책임하,-3
1168,무편,1.5
1169,무한,-1.5
1170,무해,3
1171,무형적,-1.5
1172,무효,-1.5
3713,묵직,1.5
1173,문드러지,-1.5
1174,문란,-3
1175,문맹,-1.5
1176,문제,-1.5
1177,문체,1.5
1178,문학,3
1179,물건,-1.5
1180,물러나,-1.5
1181,물러서,-1.5
1182,물리,-1.5
1183,물어뜯,-1.5
1184,물정,1.5
1185,물질,-1.5
1186,물질적,3
1187,물집,-1.5
1188,뭇사람,1.5
1189,뭐서워,-3
1190,므흣하,1.5
1191,미개,-1.5
1192,미끄럽,1.5
1193,미끈,1.5
1194,미덥,0
1195,미련,-3
1196,미루,-1.5
1197,미묘,1.5
1198,미세,1.5
1199,미소,3
1200,미숙,-1.5
1201,미안,-1.5
1202,미약,-1.5
1203,미움,-3
1204,미워하,-3
1205,미인,3
1206,미천,-3
1207,미치,-3
1208,미친개,-1.5
1209,미혹,-3
1210,믿음,1.5
1211,믿음성,3
1212,믿음직,3
1213,믿음직스럽,3
1214,밀려나,-1.5
1215,밀리,-1.5
1216,밉살스럽,-3
1217,밋밋,-1.5
3724,바나나,0
3723,바닐라,0
1218,바닥,0
1219,바라,0
1220,바라지,0
1221,바람,0
1222,바람직,3
1223,바래,-1.5
1224,바로잡,1.5
1225,바르,3
1226,바른,3
1227,바보,-3
,바보,0
1228,바쁘,-1.5
1229,바스러지,-1.5
1230,바이러스,-1.5
1231,바지,-1.5
1232,바짝,-1.5
1233,박복,0
3740,박살,-3
1234,박약,-1.5
1235,박탈,-3
1236,반갑,3
1237,반기,3
1238,반대,-3
1239,반드럽,3
1240,반드르르,3
1241,반들반들,1.5
1242,반듯,1.5
1243,반란,-3
1244,반반,-3
1245,반발,-3
1246,반성,1.5
3690,반신반의,0
1247,반신불수,-3
1248,반역,-3
1249,반지랍,-1.5
1250,반품,-1.5
1251,반하,1.5
1252,반항,-3
1253,받들,3
1254,받아들이,-3
1255,발기,-3
1256,발길질,-1.5
1257,발끈,-3
1258,발달,1.5
1260,발랄,3
1259,발르,1.5
1261,발열,-1.5
1262,발육,0
1263,발작,-3
1264,발전,1.5
3641,발칙,-1.5
3817,발효,1.5
1265,발휘,-1.5
1266,방긋,3
1267,방긋방긋,3
1268,방면,3
1269,방자,-1.5
1270,방정,-3
1271,방정맞,-3
1272,방치,-1.5
1273,방탕,-3
1274,방해,-3
1275,방향,-1.5
1276,배가,-1.5
1277,배반,-3
3837,배송 잘,1.5
1278,배신,-3
1279,배우,0
1280,배은망덕,-3
1281,배척,-3
1282,배탈,-3
1283,버겁,-3
1284,버그러지,-3
3642,버럭,-1.5
3643,버럭대,-1.5
1285,버려두,-3
